Defined term,Definition,Reference1,Reference2
NTG,NTG is normal tension glaucoma.,https://www.acronymfinder.com/Science-and-Medicine/NTG.html,
Nutren,Nutren is a medical food.,https://www.nestlehealthscience.us/brands/Nutren/home-hcp,
NV,non vital,https://www.acronymfinder.com/Science-and-Medicine/N%2fV.html,
NV,Norwalk virus,https://www.acronymfinder.com/Science-and-Medicine/N%2fV.html,
O2 sat,oxygen saturation,,
O2 sat 100%,Ideal oxygen saturation,,
occlusive,Occlusive refers to partially or fully blocked blood vessels.,,
octreotide,Octreotide is a drug used to reduce growth hormone levels.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f278f0d8-4062-420a-97c3-3a8b88253a08,
OGT,"This is orogastric tube, one of 3 enteral feeding tube types to be used on ventilated patients.",http://www.surgicalcriticalcare.net/Guidelines/feeding%20algorithm.pdf,
OGT,oral glucose tolerance,https://www.medicinenet.com/oral_glucose_tolerance_test,
OLT,OLT is orthotopic liver transplant.,https://www.allacronyms.com/OLT,
OLT,OLT is osteochondral lesions of the talus.,https://www.allacronyms.com/OLT,
Ommaya,Ommaya is a port inserted under the scalp for administering drugs into the brain to treat cancer or infection.,https://www.mskcc.org/cancer-care/patient-education/frequently-asked-questions-about-ommaya-reservoirs-and-ommaya-taps,
OOB,out of bed,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_O,
ooze,to pass or flow slowly through or as if through small openings ,https://www.merriam-webster.com/dictionary/ooze,
oozing large,Large amounts are passing or flowing slowly through or as if through small openings.,https://www.merriam-webster.com/dictionary/ooze,
oozing lg amt,Large amounts are passing or flowing slowly through or as if through small openings.,https://www.merriam-webster.com/dictionary/ooze,
open face,Open face head and neck masks allow for active patient restraint and monitoring during treatment and may reduced claustrophobia and anxiety compared to closed masks.,https://aapm.onlinelibrary.wiley.com/doi/abs/10.1118/1.4924426,
open fasciotomy,"Open fasciotomy is used to either release pressure in compartment syndrome, or release Dupuytren's contractures in the palm (the latter is unlikely during critical care).",,
open transparent dressing,skin dressing,,
orthopaedics,"Orthopaedics is the medical specialty that focuses on injuries and diseases of your body's musculoskeletal system of bones, joints, ligaments, tendons, muscles, and nerves.",https://orthoinfo.aaos.org/en/treatment/orthopaedics/,
OS,"oculus sinister, left eye",https://www.acronymfinder.com/Science-and-Medicine/OS.html,
OS,on schedule,https://www.acronymfinder.com/Science-and-Medicine/OS.html,
OS,one side,https://www.acronymfinder.com/Science-and-Medicine/OS.html,
OS,orthopedic surgeon,https://www.acronymfinder.com/Science-and-Medicine/OS.html,
OS,osmium,https://www.acronymfinder.com/Science-and-Medicine/OS.html,
OS,oxygen sensor,https://www.acronymfinder.com/Science-and-Medicine/OS.html,
OTA,open to air,http://www.globalrph.com/abbreviations_O.htm,
Ox3,"Ox3 means patient is oriented to time, place, and person.","Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.","Segen's Medical Dictionary. © 2012 Farlex, Inc."
p,"pulse, in context of heart data","Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
p/w,presents with,https://www.acronymfinder.com/Science-and-Medicine/P%2fW.html,
PA,PA is the pulmonary artery.,,
PA line,PA line is a catheter (also called Swan Ganz catheter) placed in the pulmonary artery to measure blood pressure and heart output.,www.icufaqs.org/PALinesApril04.doc,
paced rhythm,Paced rhythm refers to a type of artificial pacing of heart rhythms with a pacemaker.,https://www.thecardiologyadvisor.com/home/decision-support-in-medicine/cardiology/modes-of-cardiac-pacing-nomenclature-selection-and-indications-for-permanent-cardiac-pacing/,
pacemaker,Pacemaker is implanted to control heart rhythm.,,
packed cells,Packed cells are packed red blood cells.,,
pain management,Pain is being treated.,,
palpitations,Palpitations are irregular heart beats.,,
pancreatic drain,Pancreatic drain is placed to drain fluid from the pancreas.,,
pancreatitis,Pancreas is inflamed.,,
pancytopenia,"Pancytopenia is low levels of white blood cells, red blood cells, and platelets.",https://www.stjude.org/disease/pancytopenia.html,
pannus,"Pannus is a physical abnormality that can develop on the cornea, a prosthetic heart valve, or in a joint.",https://en.wikipedia.org/wiki/Pannus,
PAo,airway opening pressure,https://www.allacronyms.com/PAO/medical,
PAO,peak acid output,https://www.allacronyms.com/PAO/medical,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_P
PAO,periacetabular osteotomy,https://www.allacronyms.com/PAO/medical,
PAO,peripheral airway obstruction,https://www.allacronyms.com/PAO/medical,
PAO,peripheral arterial occlusion,https://www.allacronyms.com/PAO/medical,
PAO,pulmonary artery occlusion,https://www.allacronyms.com/PAO/medical,
PaO2,"PaO2 = arterial blood oxygen, measured in mm Hg",http://www.ucdenver.edu/academics/colleges/medicalschool/departments/surgery/education/GrandRounds/Documents/GRpdfs/2006-2007/7-24-06%20Goldberg.pdf,
PaO2,PaO2 = arterial blood oxygen.  Normal is >= 80.  Mild hypoxemia is 70-79.  Moderate hypoxemia is 60-69.  Severe hypoxemia is 50-59.  extreme hypoxemia is < 50.,https://medlineplus.gov/ency/article/003855.htm,
PAP,"positive airway pressure, involved with breathing assistance",,
PAP,Pulmonary artery pressure,,
paraganglioma,Paraganglioma is a peripheral nerve tissue tumor that may change from benign to cancerous to metastatic; many of them produce adrenaline.,https://www.mayoclinic.org/diseases-conditions/paraganglioma/cdc-20352970,
paralysis,"paralyzed, whether it's intrinsic or medically induced",,
paravalvular,"Paravalvular refers to paravalvular leak, a complication of heart valve replacement.",https://www.hopkinsmedicine.org/heart_vascular_institute/clinical_services/specialty_areas/transcatheter-interventions/services.html,
paravalvular leak,Paravalvular leak is a complication of heart valve replacement.,https://www.hopkinsmedicine.org/heart_vascular_institute/clinical_services/specialty_areas/transcatheter-interventions/services.html,
Pasteurellosis,Pasteurellosis is usually a soft tissue bacterial infection from being bitten by an animal.,,
patient code,Patient code means the heart stopped; revival is unclear from this phrase.,https://www.gapmedics.com/blog/2014/10/23/med-students-guide-to-understanding-code-status/,
pc,P.c. means after meals.,https://www.allacronyms.com/PC/medical,
pc,"packed cells, usually blood",https://www.allacronyms.com/PC/medical,
PC,palliative care,https://www.allacronyms.com/PC/medical,
PC,platelet count,https://www.allacronyms.com/PC/medical,
PC,primary care,https://www.allacronyms.com/PC/medical,
PCI,percutaneous coronary intervention,https://www.acronymfinder.com/Science-and-Medicine/PCI.html,
PCI,Percutaneous coronary intervention is done to open coronary arteries for better blood flow.,https://www.nhlbi.nih.gov/health-topics/percutaneous-coronary-intervention,
PCV,packed cell volume,http://www.globalrph.com/abbreviations_P.htm,
PCV,pressure control ventilation,http://www.globalrph.com/abbreviations_P.htm,
PCWP,Pulmonary capillary wedge pressure (PCWP) provides an indirect estimate of left atrial pressure (LAP).,https://cvphysiology.com/Heart%20Failure/HF008,
PD,peritoneal dialysis,https://ac.els-cdn.com/S1607551X09704206/1-s2.0-S1607551X09704206-main.pdf?_tid=78d74118-0dbe-11e8-855e-00000aacb361&acdnat=1518197416_0a223a85f370e6a467ec49441f2670db,
peak gradient,Peak and gradient are terms used when evaluating cardiac function.,,
peak trough sent,"Apparently, blood samples were drawn at the times when drug levels were expected to peak and trough, and were sent to lab.",https://www.nhrmc.org/healthcare-professionals/laboratory/specimen-collection/therapeutic-drugs-optimal-time-to-draw-samples,
pedi,This could be Pedialyte to treat dehydration.,,
PEEP,positive end expiratory pressure,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_P,
pel,pelvic,,
pellagra,"Pellagra is niacin or vitamin B3 deficiency, which can cause diarrhea, dermatitis, and dementia.",https://www.healthline.com/health/pellagra,
pelvic fracture,Pelvic fracture is a break in one of the bones of the pelvis.,,
pentobarbital,Pentobarbital is a sedative.,https://www.rxlist.com/consumer_pentobarbital_nembutal/drugs-condition.htm,
Peptamen,Peptamen is a medical food for tube feeding.,https://www.nestlehealthscience.us/brands/peptamen/peptamen-hcp,
percutaneous cholecystostomy,Percutaneous cholecystostomy involves the sterile therapeutic placement of a needle into the gallbladder with use of imaging guidance to aspirate bile and then a tube for external drainage of gallbladder contents.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5088094/,
perihilar,a location in the lungs,,
peripheral blasts,Peripheral blasts are blood cells measured in the peripheral blood to indicate level of cancer control.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4431040/,
perla brisk,"PERRLa is pupils equal, round, reactive to light and accomodation); normal is ""brisk"".",https://www.nrsg101.com/perrla.html,
PERRL,"PERRL is pupils equal, round, reactive to light.",https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_P,
persistent hypotension,Persistent hypotension continues even after aggressive treatment.,https://www.jointcommission.org/assets/1/6/IQR_Manual_Release_Notes_v5_0a.pdf,
pessary,A pessary is placed into the vagina to correct its anatomy or deliver a drug.,https://en.wikipedia.org/wiki/Pessary,
PFO,"PFO is a patent foramen ovale repair, or closure, which is a procedure that's done to close the flap in the wall of the atrial septum, also called a patent foramen ovale. During this procedure, a catheter with a closure device is inserted through the leg vein up to the heart, where the device is left to close up the flap. ",https://www.urmc.rochester.edu/cardiology/patient-care/treatments-procedures/pfo_repair.aspx,
PFR,PFR is pulmonary flow redistribution.,https://journal.chestnet.org/article/S0012-3692(15)30925-9/pdf,
PFR,PFR is peak expiratory flow rate.,https://www.allacronyms.com/_medical/PFR,
PFR,PFR is peak flow rate.,https://www.allacronyms.com/_medical/PFR,
PFR,PFR is peak urinary flow rate.,https://www.allacronyms.com/_medical/PFR,
PFR,PFR is pelvic floor repair.,https://www.allacronyms.com/_medical/PFR,
PFR,PFR is perfusion flow rate.,https://www.allacronyms.com/_medical/PFR,
PFR,PFR is pressure-flow relationship.,https://www.allacronyms.com/_medical/PFR,
phenobarbital,Phenobarbital is given to sedate or prevent convulsions.,https://www.rxlist.com/phenobarbital-drug.htm,
PHOS,"Phosphate is associated with bone problems, weakness, kidney disorder, diabetes, and calcium problems.",https://www.allacronyms.com/PHOS,
PHOS,phosphorus,https://www.allacronyms.com/PHOS,
PICC,peripherally inserted central catheter,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_P,
PIP,PIP is proximal interphalangeal joint.,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_P,
PIP,path independent protocol,https://www.acronymfinder.com/Science-and-Medicine/PIP.html,
PIP,patient in pain,https://www.acronymfinder.com/Science-and-Medicine/PIP.html,
PIP,positive inspiratory pressure,https://www.acronymfinder.com/Science-and-Medicine/PIP.html,
PIP,posterior intraparietal,https://www.acronymfinder.com/Science-and-Medicine/PIP.html,
PIP,pump intake pressure,https://www.acronymfinder.com/Science-and-Medicine/PIP.html,
Piperacillin,Piperacillin is an injection in the penicillin family of antibiotics.,https://medlineplus.gov/druginfo/meds/a694003.html,
piroxicam,Piroxicam is a drug used to treat rheumatoid arthritis.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a6335245-7e04-46b9-a505-f47647781e19,
pitressin,"Pitressin is a vasopressin, and used for prevention and treatment of postoperative abdominal distention, in abdominal roentgenography to dispel interfering gas shadows, and in diabetes insipidus.",https://www.rxlist.com/pitressin-drug.htm#indications_dosage,
Pitting Edema Scale,"Pitting edema is edema, generally in feet, legs, scrotum, and sacral areas.",Foundations and adult health nursing. 2014. Kim Cooper and Kelly Gosnell.  Box 12-10.,
PK,penetrating keratoplasty,https://www.acronymfinder.com/Science-and-Medicine/PK.html,
PK,pharmacokinetics,https://www.acronymfinder.com/Science-and-Medicine/PK.html,
PK,protein kinases,https://www.acronymfinder.com/Science-and-Medicine/PK.html,
PK,pyruvate kinase,https://www.acronymfinder.com/Science-and-Medicine/PK.html,
placenta accreta,Placenta accreta is abnormal attachment of the placenta to the uterine wall and can precipitate massive bleeding. ,https://www.acog.org/Clinical-Guidance-and-Publications/Obstetric-Care-Consensus-Series/Placenta-Accreta-Spectrum,
placenta percreta,Placenta percreta is a condition where the placenta invades and may even rupture the uterine wall and can precipitate massive bleeding.,https://www.medicinenet.com/script/main/art.asp?articlekey=4921,
plasma cell,Plasma cells are the white blood cells responsible for the production of antibodies.  Malignant plasma cells are multiple myeloma.,http://cancer.ucsf.edu/research/multiple-myeloma/,
plasma cell dyscrasia,Plasma cell dyscrasias form a heterogeneous group of diseases characterized by the expansion of the number of monoclonal bone marrow plasma cells that produce monoclonal immunoglobulins; may or may not be malignant.,https://www.ncbi.nlm.nih.gov/pubmed/8845568,
Plasma-Lyte A,Plasma-Lyte A is an infusion of electrolytes and water that is also alkalinizing.  It may induce diuresis and be a diluent of packed blood cells.,https://www.drugs.com/pro/plasma-lyte-a.html,
pleural effusions,Pleural effusions are fluid around the lungs.,https://my.clevelandclinic.org/health/diseases/17373-pleural-effusion-causes-signs--treatment/management-and-treatment,
PLT,platelets,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_P,
pm,between noon and midnight,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_P,
